"","ISO3","pubyear","per_country_y","per_country_y_cat","art_country_y","count_country_y_cat","repr_y","repr_y_s","continent","subregion","subregion_rf","subregion_countries","sel_country","population_n","emig_stock","emig_stock_rel_ctry","immig_stock","immig_relative_stock","tot_stock","tot_stock_c","GDP","income_groups","research_GDP","research","gsouth"
"1","ABW",2000,0.0728332119446468,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,90.9,7.7,8.47084708470847,30.1,33.1,37.8,1,21026.1670909022,"High income",0.209659993648529,44.0834605873146,NA
"2","ABW",2004,0.0434971726837756,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,90.9,7.7,8.47084708470847,30.1,33.1,37.8,1,24105.5241207717,"High income",0.209659993648529,50.5396403405546,NA
"3","ABW",2006,0.0728597449908925,1,2,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,90.9,7.7,8.47084708470847,30.1,33.1,37.8,1,25832.9255649671,"High income",0.209659993648529,54.1613100987392,NA
"4","ABW",2008,0.0289351851851852,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,90.9,7.7,8.47084708470847,30.1,33.1,37.8,1,29011.6390567532,"High income",0.209659993648529,60.8258006037229,NA
"5","ABW",2009,0.0261574679571017,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,90.9,7.7,8.47084708470847,30.1,33.1,37.8,1,25740.7702303087,"High income",0.209659993648529,53.9680972299477,NA
"6","ABW",2010,0.0184740439682246,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,101.7,13.5,13.2743362831858,34.3,33.8,47.8,1,24452.5887394376,"High income",0.209659993648529,51.2672959980058,NA
"7","ABW",2014,0.0139567341242149,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,101.7,13.5,13.2743362831858,34.3,33.8,47.8,1,26940.2641144313,"High income",0.209659993648529,56.4829560312136,NA
"8","ABW",2015,0.0251351011687822,1,2,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,104.3,16.6,15.9156279961649,36.1,34.6,52.7,1,28419.2645344661,"High income",0.209659993648529,59.5838282179203,NA
"9","ABW",2017,0.021362956633198,1,2,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,104.3,16.6,15.9156279961649,36.1,34.6,52.7,1,29329.0817465959,"High income",0.209659993648529,61.4913509270848,NA
"10","ABW",2021,0.00703878369817696,1,1,1,0,"Fair","Americas","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean",0,104.3,16.6,15.9156279961649,36.1,34.6,52.7,1,29127.7593841909,"High income",0.209659993648529,61.0692584748534,NA
